update|A|1634030414.000000|ris|rrc21|None|None|35426|2001:7f8:54::1:231|2402:1f00:8200::/40|2001:7f8:54::1:231|35426 16276|51706:65012 51706:65011 51706:64602 51706:64650|None|None
update|A|1634030451.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634030451.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634030485.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 174 6453 16276|174:21300 174:22042 61595:174|None|None
update|A|1634030485.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 174 6453 16276|174:21300 174:22042 61595:174|None|None
update|A|1634030532.000000|ris|rrc19|None|None|37271|197.157.79.173|139.99.128.0/17|197.157.79.173|37271 16276|37271:3826 37271:2154 37271:5200 37271:2150 37271:5208 37271:1005 16276:40020 37271:4004 37271:5002|None|None
update|A|1634030549.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634030549.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634030569.000000|ris|rrc19|None|None|37271|197.157.79.173|51.161.128.0/17|197.157.79.173|37271 16276|37271:3826 37271:2154 37271:5200 37271:2150 37271:1005 37271:5207 16276:40020 37271:4004 37271:5002|None|None
update|A|1634030600.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 174 6453 16276|174:21300 174:22042 61595:174|None|None
update|A|1634030604.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 174 6453 16276|174:21300 174:22042 61595:174|None|None
update|A|1634030616.000000|ris|rrc19|None|None|37468|2001:43f8:6d0::60|2402:1f00:8200::/40|2001:43f8:6d0::60|37468 16276|37468:2220 37468:2000 37468:12000 37468:2221 37468:12200 37468:2200 16276:40020 37468:12201 37468:37468|None|None
update|A|1634030616.000000|ris|rrc19|None|None|37468|2001:43f8:6d0::60|2402:1f00:8100::/40|2001:43f8:6d0::60|37468 16276|37468:2220 37468:2000 37468:12000 37468:2221 37468:12200 37468:2200 16276:40020 37468:12201 37468:37468|None|None
update|A|1634030645.000000|ris|rrc19|None|None|57695|2001:43f8:6d0::9:165|2402:1f00::/32|2001:43f8:6d0::9:165|57695 6939 16276|57695:12000 57695:12002|None|None
update|A|1634030660.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
