update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|198.245.48.0/20|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|198.100.144.0/20|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|198.50.128.0/17|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|198.27.64.0/18|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|198.27.92.0/24|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|149.56.0.0/16|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|144.217.0.0/16|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|142.44.128.0/17|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc22|None|None|57050|86.104.125.53|142.4.192.0/19|86.104.125.53|57050 8708 16276|8708:303|None|None
update|A|1634025018.000000|ris|rrc15|None|None|28186|187.16.223.133|66.70.128.0/17|187.16.223.133|28186 16276||None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.26.94.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.21.41.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.24.8.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.29.224.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.33.128.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.33.137.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.30.208.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.33.96.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.7.244.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.18.128.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.20.110.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.18.172.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
