update|A|1634119818.000000|ris|rrc23|None|None|14061|27.111.228.201|198.27.92.0/24|27.111.228.106|14061 16276|14061:2301 14061:3000 16276:41908 14061:400 14061:2300 16276:419 14061:3002|None|None
update|A|1634119818.000000|ris|rrc23|None|None|133210|27.111.230.35|198.27.92.0/24|27.111.228.106|133210 16276|24115:65012 24115:16276 16276:419 16276:41908|None|None
update|A|1634119818.000000|ris|rrc23|None|None|58952|27.111.229.109|198.27.92.0/24|27.111.228.106|58952 16276|16276:419 16276:41908|None|None
update|A|1634119828.000000|ris|rrc01|None|None|1239|195.66.225.35|51.77.0.0/16|195.66.225.6|1239 16276||None|None
update|A|1634119828.000000|ris|rrc01|None|None|1239|195.66.225.35|147.135.128.0/17|195.66.225.6|1239 16276||None|None
update|A|1634119832.000000|ris|rrc21|None|None|35426|2001:7f8:54::1:231|2402:1f00:8200::/40|2001:7f8:54::1:231|35426 16276|51706:64602 51706:65012 51706:65011 51706:64650|None|None
update|A|1634119838.000000|ris|rrc01|None|None|4637|195.66.224.177|198.27.92.0/24|195.66.224.177|4637 16276||None|None
update|A|1634119842.000000|ris|rrc23|None|None|199524|27.111.228.222|198.27.92.0/24|27.111.228.222|199524 16276||None|None
update|A|1634119861.000000|ris|rrc21|None|None|35426|2001:7f8:54::1:231|2402:1f00:8200::/40|2001:7f8:54::1:231|35426 16276|51706:64602 51706:65012 51706:65011 51706:64650|None|None
update|A|1634119888.000000|ris|rrc21|None|None|35426|2001:7f8:54::1:231|2402:1f00:8200::/40|2001:7f8:54::1:231|35426 16276|51706:64602 51706:65012 51706:65011 51706:64650|None|None
update|A|1634119889.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634119889.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634119889.000000|ris|rrc15|None|None|61595|187.16.210.50|139.99.0.0/17|187.16.210.50|61595 53013 16735 16276|11190:53013|None|None
update|A|1634119919.000000|ris|rrc15|None|None|61595|187.16.210.50|15.235.128.0/17|187.16.210.50|61595 174 6453 16276|174:22042 174:21300 61595:174|None|None
update|A|1634119919.000000|ris|rrc15|None|None|61595|187.16.210.50|51.79.128.0/17|187.16.210.50|61595 174 6453 16276|174:22042 174:21300 61595:174|None|None
update|A|1634119919.000000|ris|rrc15|None|None|61595|187.16.210.50|139.99.0.0/17|187.16.210.50|61595 174 6453 16276|174:22042 174:21300 61595:174|None|None
update|A|1634119924.000000|ris|rrc21|None|None|35426|2001:7f8:54::1:231|2402:1f00:8200::/40|2001:7f8:54::1:231|35426 16276|51706:64602 51706:65012 51706:65011 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|142.4.192.0/19|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|51.79.0.0/17|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|51.161.0.0/17|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|142.44.128.0/17|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|192.95.0.0/18|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|167.114.0.0/17|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|144.217.0.0/16|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|66.70.128.0/17|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
update|A|1634119946.000000|ris|rrc21|None|None|29075|37.49.236.205|149.56.0.0/16|37.49.236.144|29075 16276|51706:65011 29075:6350 51706:65012 0:0 51706:64601 51706:64650|None|None
